SKU,MARKETPLACE_ID,MIN_PRICE
2CN-9780702311789-054B-NR,14468,5.57
66B-889698686464-542,14468,14.69
66B-9124292362-1023-3PK,14468,32.89
66B-9124350621-1023-3PK,14468,44.83
66B-9781406387575-527B,14468,22.07
66B-9781408371879-185,14468,14.89
66B-9781409109167-1915-8PK,14468,52.97
66B-9781488915697-369B,14468,15.63
66B-9781509840182-259,14468,16.69
66B-9781787466555-184,14468,11.17
66B-9781944515652-412,14468,21.97
66B-B0150WICIE-922-3PK,14468,43.20
BSD-9780008742935-216-NR,14468,9.89
BSD-9780008775452-477B-NR,14468,24.69
BSD-9780593960844-310,14468,12.93
BSD-9780702342790-185,14468,16.40
CRN-9781804183632-154,14468,12.03
EXP-9780062866219-190-NR,14468,13.00
EXP-9780063267831-250-NR,14468,9.38
EXP-9780310144021-076-NR,14468,11.36
HCC-9781400251667-193-NR,14468,14.05
HCC-9781404109339-044,14468,17.87
MRK-9781789099706-179,14468,11.81
MRK-9781803361031-179B,14468,16.66
MZL-9781950785780-250,14468,13.89
OMS-9798384500155-115,14468,11.29
PHB-9781640974562-100,14468,20.45
PHB-9781640976160-088,14468,21.79
PRX-B00NHR6VTC-3147,14468,329.99
STR-9781646432813-350,14468,8.63
TXB-9780008327071-120B,14468,8.60
TXB-9780062996954-120,14468,11.50
USM-9780757305603-105,14468,13.75
USM-9781642500325-131,14468,8.70
USM-9781642507997-072B-NR,14468,7.23
USM-9781646433537-094,14468,8.03
USM-9781647224097-315,14468,14.97
USM-9781647224110-264-NR,14468,19.97
USM-9781647226268-137-NR-HALLO,14468,9.89
USM-9781647227623-265,14468,12.96
USM-9781668078433-165,14468,5.97
USM-9781668230084-132,14468,7.80
USM-9781683839682-228,14468,19.97
USM-9781684125814-099-NR,14468,9.29
USM-9798886630060-184-NR,14468,14.98
USM-9798886632057-297-NR,14468,16.47
USM-9798886636789-385-NR,14468,24.97
USM-9798886742060-330-NR,14468,29.69
