SKU,ASIN,MARKETPLACE_ID,ABS_MIN,ABS_MAX
2CN-9780702311789-054B-NR,1338790358,14468,5.57,7.99
66B-889698595612-467,B095HV9N96,14468,14.97,24.99
66B-889698686464-542,B0B78BHRL3,14468,12.61,22.95
66B-9124231924-661-3PK,9124231924,14468,17.25,28.99
66B-9124292362-1023-3PK,9124292362,14468,22.74,29.99
66B-9124350621-1023-3PK,9124350621,14468,23.23,34.99
66B-9781406387575-527B,0763663972,14468,14.97,23.99
66B-9781408371879-185,1408371871,14468,7.86,14.99
66B-9781409109167-1915-8PK,9124377597,14468,52.97,74.99
66B-9781488915697-369B,148894587X,14468,12.2,16.99
66B-9781509840182-259,1509840192,14468,13.27,16.99
66B-9781787466555-184,1984819089,14468,9.97,14.99
66B-9781787466555-4575-368-2PK,9124371866,14468,15.45,19.99
66B-9781801087254-440,1801087253,14468,24.97,34.99
66B-9781944515652-412,1944515658,14468,21.97,29.99
66B-B0150WICIE-922-3PK,B0150WICIE,14468,23.72,31.99
BSD-9780008742935-216-NR,0008742936,14468,9.23,15.19
BSD-9780008775452-477B-NR,B0FK28Y4XV,14468,15.67,26.99
BSD-9780008785109-231,0008785104,14468,9.17,21.99
BSD-9780593960844-310,0744081661,14468,11.97,21.99
BSD-9780702342790-185,0702342793,14468,9.08,13.99
BSD-9782764352984-293B,2764353162,14468,13.05,16.99
BSD-9798337400297-463,B0DV4NBYHZ,14468,15.53,34.99
BUM-105N-MATTEBLACK-1.0,B0F852BGF5,14468,16.51,23.99
BUM-288N-MATTEBLACK-1.0,B0F85413D5,14468,16.57,29.99
BUM-512S-MATTEBLACK-1.0,B0F853Q4RZ,14468,16.39,24.99
CRN-9780310131403-108,0310131405,14468,6.55,9.99
CRN-9780310144274-240-NR,0310144272,14468,8.93,18.99
CRN-9780310160434-154-NR,031016043X,14468,8.13,16.99
CRN-9780310163978-123B-NR,0310182646,14468,8.74,9.99
CRN-9780840711984-154-NR,0840711980,14468,8.48,16.99
CRN-9780840716651-154-NR,0840716656,14468,8.4,12.99
CRN-9781400247691-185-NR,1400247691,14468,8.23,14.99
CRN-9781400343942-185-NR,1400343941,14468,8.88,16.99
CRN-9781804183632-154,1501191063,14468,9.06,19.99
EXP-9780062866219-190-NR,0062866214,14468,8.62,15.99
EXP-9780063267831-250-NR,0063267837,14468,8.91,14.99
EXP-9780063377738-250-NR,006337773X,14468,11.24,17.99
EXP-9780310144021-076-NR,0310144027,14468,6.98,12.99
EXP-9780785291879-106-NR,0785291873,14468,7.84,15.99
HCC-9780310367413-055-NR,0310367417,14468,6.19,13.99
HCC-9781400251667-193-NR,1400211824,14468,13.97,19.99
HCC-9781404109339-044,1404109331,14468,7,9.99
MRK-9781405299893-098,0593301536,14468,6.47,9.99
MRK-9781789099706-179,1789099706,14468,9.47,29.99
MRK-9781803361031-179B,1683838904,14468,12.47,34.99
MZL-9781950785780-250,1950785785,14468,12.97,19.99
OMS-9798384500155-115,B0DJ221CMZ,14468,9.25,18.99
PHB-9780987902351-099-NR,0987902350,14468,7.32,16.95
PHB-9781640974562-100,1640974563,14468,9.75,15.99
PHB-9781640976160-088,1640976167,14468,9.44,13.99
PHB-9781927979303-198-NR,1927979307,14468,15.47,36
PRX-9780374200091-128,0374200092,14468,12.82,14.99
PRX-9781250317148-136-ALL,1250317142,14468,8.08,16.99
PRX-B00NHR6VTC-3147,B00NHR6VTC,14468,329.99,329.99
STR-9781645173601-259,1645173607,14468,8.89,19.95
STR-9781646432813-350,1646432819,14468,7.47,16.95
TXB-9780008327071-120B,0062870491,14468,8.6,15.99
TXB-9780062996954-120,0062996959,14468,11.47,19.99
USM-9780757305603-105,0757305601,14468,12.47,14.95
USM-9781642500325-131,1642500321,14468,7.17,9.99
USM-9781642507997-072B-NR,1642501727,14468,6.58,12.99
USM-9781646433537-094,164643353X,14468,8.03,14.99
USM-9781647224097-315,1647224098,14468,14.97,31.99
USM-9781647224110-264-NR,164722411X,14468,19.97,29.99
USM-9781647224998-95,1647224993,14468,8.97,18.95
USM-9781647226213-215-NR,164722621X,14468,9.97,29.99
USM-9781647226268-137-NR-HALLO,1647226260,14468,9.87,14.99
USM-9781647227623-265,1647227623,14468,12.96,27.95
USM-9781668017111-110,1668017113,14468,8.55,17.99
USM-9781668078433-165,1668078430,14468,5.97,27.99
USM-9781668230084-132,1668230089,14468,7.19,9.99
USM-9781683839682-228,1683839684,14468,19.97,34.99
USM-9781684125814-099-NR,1684125812,14468,7.56,11.99
USM-9781684817276-220,1684817277,14468,7.91,14.99
USM-9798886630060-184-NR,B0BNVZK359,14468,13.18,34.99
USM-9798886632019-171,B0BTXBCJC7,14468,9.97,17.99
USM-9798886632057-297-NR,B0BTXB996B,14468,14.97,29.99
USM-9798886636543-308,B0DGTDRZ22,14468,14.61,34.99
USM-9798886636789-385-NR,B0CTYJCX28,14468,24.97,34.99
USM-9798886742060-330-NR,B0CTYHGLYM,14468,21.38,29.99
